full_name,stars,description
tailwindlabs/tailwindcss,90474,"A utility-first CSS framework for rapid UI development."
h5bp/html5-boilerplate,57180,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
wasabeef/awesome-android-ui,53999,"A curated list of awesome Android UI/UX libraries"
tabler/tabler,40146,"Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap"
alebcay/awesome-shell,35466,"A curated list of awesome command-line frameworks, toolkits, guides and gizmos. Inspired by awesome-php."
AmruthPillai/Reactive-Resume,33237,"A one-of-a-kind resume builder that keeps your privacy in mind. Completely secure, customizable, portable, open-source and free forever. Try it out today!"
xyflow/xyflow,31834,"React Flow | Svelte Flow - Powerful open source libraries for building node-based UIs with React (https://reactflow.dev) or Svelte (https://svelteflow.dev). Ready out-of-the-box and infinitely customizable."
heyverse/hey,29435,"Hey is a decentralized and permissionless social media app built with Lens Protocol 🌿"
tailwindlabs/headlessui,28011,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS."
onlook-dev/onlook,22794,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI"
wandb/openui,21731,"OpenUI let's you describe UI using your imagination, then see it rendered live."
magicuidesign/magicui,19126,"UI Library for Design Engineers. Animated components and effects you can copy and paste into your apps. Free. Open Source."
shadcn-ui/taxonomy,19041,"An open source application built using the new router, server components and everything new in Next.js 13."
radix-ui/primitives,17964,"Radix Primitives is an open-source UI component library for building high-quality, accessible design systems and web apps. Maintained by @workos."
tremorlabs/tremor-npm,16448,"React components to build charts and dashboards"
udecode/plate,15220,"Rich-text editor with AI, MCP, and shadcn/ui"
unovue/shadcn-vue,8316,"Vue port of shadcn-ui"
xitanggg/open-resume,8090,"OpenResume is a powerful open-source resume builder and resume parser. https://open-resume.com/"
huntabyte/shadcn-svelte,7505,"shadcn/ui, but for Svelte. ✨"
founded-labs/react-native-reusables,7064,"Bringing shadcn/ui to React Native. Beautifully crafted components with Nativewind, open source, and almost as easy to use."
tremorlabs/tremor,2978,"Copy & Paste React components to build modern web applications. "
reaviz/reaflow,2408,"🎯 React library for building workflow editors, flow charts and diagrams. Maintained by @goodcodeus."
welovedevs/react-ultimate-resume,2141,"💼 🎨 A modern software developer resume built with React and JSONResume"
anubhavsrivastava/awesome-ui-component-library,1581,"Curated list of framework component libraries for UI styles/toolkit"
kokonut-labs/kokonutui,1345,"Collection of UI components.            Built for Next.js and React with Tailwind CSS and shadcn/ui"
Arman19941113/dnd-resume,1315,"🚀 Resume Builder 在线简历生成工具"
sadanandpai/resume-builder,1156,"Build a standard and professional single page resume"
SyntaxUI/syntaxui,969,"Get free access to pre-built, Tailwind CSS-powered components, animations and effects - brought to life using Framer Motion. Just copy, paste and you're ready to go!"
rbardini/resumed,452,"👔 Lightweight JSON Resume builder, no-frills alternative to resume-cli"
blopa/Resume-Builder,233,"Resume Builder is a free open-source project that allows anyone to easily maintain and build any kind of resume."
Jac21/SkillSet,194,"✨ Intuitive job-candidate skill visualization, taking advantage of D3.js and JSONResume."
